,nbo words,nbo word count,review words,review word count,descrip words,descrip word count
696,"downtown,",20,everyone,44,places,64
697,abundance,20,neat,44,security,64
698,"and,",20,bien,44,furniture,64
699,craft,20,wayne,44,filled,64
700,anywhere,20,gorgeous,43,well.,64
701,modern,20,rented,43,"target,",64
702,alongside,20,airbnb.,43,zeus!,64
703,truly,20,showed,43,"zeus,",64
704,spend,20,accessible,43,day+,64
705,rest,20,issues,43,valued,64
706,"music,",20,recommend.,43,day.,63
707,name,20,situated,43,still,63
708,fabulous,20,touch,43,"patio,",63
709,west,20,saw,43,(,63
710,water,20,stores,43,"comfortable,",63
711,"houses,",20,les,43,university,63
712,rfk,20,rock,43,lines.,63
713,pretzel,20,email,43,shower.,63
714,architecture,20,system,43,door.,63
715,blueground,20,loft,43,"stove,",63
716,(or,19,heights,43,blue,63
717,10-minute,19,micha,43,"stop,",63
718,hours,19,rent,42,bar.,63
719,biking,19,relax,42,washer/dryer.,63
720,"vibrant,",19,something,42,gourmet,62
721,5-10,19,looks,42,beds.,62
722,pharmacy,19,"night,",42,--,62
723,bit,19,major,42,quality,62
724,thriving,19,booked,42,balcony,62
725,"cottage,",19,sent,42,traditional,62
726,stores.,19,seemed,42,feet,62
727,24,19,kitchen.,42,peaceful,62
728,getting,19,live,42,book,62
729,"trails,",19,"perfect,",42,closet.,62
730,nightlife.,19,reservation,42,"groceries,",62
731,(the,19,"safe,",42,makes,62
732,"avenue,",19,anywhere,42,perfectly,62
733,beyond,19,"towels,",42,term,62
734,diverse.,19,jen,42,2520+,62
735,"homes,",19,teresa's,42,enough,61
736,throughout,19,joel's,42,office,61
737,sidewalks,19,(which,41,without,61
738,stations,19,"bathroom,",41,contact,61
739,"miles),",19,touches,41,diverse,61
740,gardens,19,done,41,decorated,61
741,weekends.,19,start,41,using,61
742,members,19,pick,41,"cable,",60
743,impressive,19,supermarket,41,used,60
744,nats,19,guests.,41,2.5,60
745,neighborhood:,18,corner.,41,ceilings,60
746,cozy,18,price,41,"ceilings,",60
747,"friendly,",18,hospitable,41,backyard.,60
748,hiking,18,perfect!,41,hear,60
749,long,18,longer,41,w,60
750,private,18,items,41,roof,60
751,since,18,rose,41,boasts,60
752,attractions.,18,hard,40,river,60
753,(and,18,"time,",40,"monuments,",59
754,family-friendly,18,facilities,40,line),59
755,+,18,6,40,areas.,59
756,subway,18,fact,40,amenities.,59
757,traffic,18,hours,40,morning,59
758,style,18,call,40,pull,59
759,location.,18,minutes.,40,life,59
760,mother,18,service,40,year,59
761,"also,",18,leaving,40,way,59
762,strong,18,probably,40,"corridor,",59
